SERIES,TS,Y,FORECAST,LOWER_BOUND,UPPER_BOUND,IS_ANOMALY,PERCENTILE,DISTANCE
,2023-11-09,67903.6,67310.467062845,8920.761311081,125700.172814609,False,0.5104374245,0.02616572871
,2023-11-10,42845.0,81630.792964359,23241.087212595,140020.498716123,False,0.04353929886,-1.711013625
,2023-11-11,68605.99,93423.137989201,35033.432237437,151812.843740965,False,0.1368033071,-1.094794642
,2023-11-12,90911.69,66849.409959678,8459.704207914,125239.115711442,False,0.8557672854,1.061494064
,2023-11-13,72613.43,46964.76159738,-11424.944154384,105354.467349144,False,0.8710727479,1.131476702
,2023-11-14,57467.07,75023.761738359,16634.055986595,133413.467490123,False,0.2193165011,-0.7745036641
,2023-11-15,52384.49,84535.333451006,26145.627699242,142925.03920277,False,0.07804918678,-1.418316527
,2023-11-16,86713.89,72253.428216997,13863.722465233,130643.133968761,False,0.7382355608,0.6379152065
,2023-11-17,78619.59,87733.610933829,29343.905182065,146123.316685593,False,0.3438199532,-0.4020599503
,2023-11-18,72597.58,100324.74519908,41935.039447316,158714.450950844,False,0.1106330437,-1.223168428
,2023-11-19,88761.02,54807.31740697,-3582.388344794,113197.023158734,False,0.9329137116,1.497848653
,2023-11-20,62444.48,44491.999907536,-13897.705844228,102881.7056593,False,0.7858090632,0.7919636466
,2023-11-21,74837.27,80831.496293893,22441.790542129,139221.202045657,False,0.3957235475,-0.2644319498
,2023-11-22,67852.5,95202.269719692,36812.563967928,153591.975471456,False,0.1138085575,-1.206519837
,2023-11-23,61855.39,56090.700999578,-2299.004752186,114480.406751342,False,0.6003704331,0.2543060401
,2023-11-24,53375.16,78463.995387611,20074.289635847,136853.701139375,False,0.1341945329,-1.10677998
,2023-11-25,66256.12,115708.943631297,57319.237879533,174098.649383061,False,0.01457013425,-2.181583733
,2023-11-26,53126.97,61113.02439999,2723.318648226,119502.730151754,False,0.3623065182,-0.3523003358
,2023-11-27,90724.9,58379.75943884,-9.946312924,116769.465190604,False,0.9231938862,1.426887836
,2023-11-28,98601.33,86968.561470149,28578.855718385,145358.267221913,False,0.696084878,0.5131730958
,2023-11-29,75320.82,101711.79484908,43322.089097316,160101.500600844,False,0.1221667982,-1.164223136
,2023-11-30,92275.69,69548.42302385,11158.717272086,127938.128775614,False,0.8419732227,1.002600707
,2023-12-01,77502.05,79952.975696247,21563.269944483,138342.681448011,False,0.4569497678,-0.1081212201
,2023-12-02,108342.79,129115.262515979,70725.556764215,187504.968267743,False,0.1797374706,-0.9163660396
,2023-12-03,96837.24,81008.794226232,22619.088474468,139398.499977996,False,0.757493651,0.6982630573
,2023-12-04,58514.47,61436.107946583,3046.402194819,119825.813698347,False,0.4487237578,-0.1288864285
,2023-12-05,70941.41,71298.325952746,12908.620200982,129688.03170451,False,0.4937188542,-0.01574514819
,2023-12-06,79192.09,104244.642477912,45854.936726148,162634.348229676,False,0.1345409349,-1.10517938
,2023-12-07,101157.64,57971.674315677,-418.031436087,116361.380067441,False,0.9716180742,1.90512479
,2023-12-08,80712.39,73354.9138537,14965.208101936,131744.619605464,False,0.6272470943,0.3245709567
,2023-12-09,109433.65,110235.009994141,51845.304242377,168624.715745905,False,0.4858997093,-0.0353515492
,2023-12-10,95478.93,70047.046768615,11657.341016851,128436.752520379,False,0.8690503569,1.121913345
,2023-12-11,157393.11,59138.604765045,748.899013281,117528.310516809,True,0.9999926935,4.334442699
